date,co2,date_seas_adj,co2_seas_adj,date_fit,co2_fit,date_seas_adj_fit,co2_seas_adj_fit
1983.70684931507,339.89,1983.70684931507,343.02,1983.28767123288,344.84,1983.28767123288,342.32
1983.78904109589,340.01,1983.78904109589,343.25,1983.3698630137,345.56,1983.3698630137,342.51
1983.87397260274,341.16,1983.87397260274,343.19,1983.45479452055,344.99,1983.45479452055,342.7
1983.95616438356,342.99,1983.95616438356,343.82,1983.53698630137,343.57,1983.53698630137,342.88
1984.04098360656,343.82,1984.04098360656,343.77,1983.62191780822,341.63,1983.62191780822,343.06
1984.12568306011,344.62,1984.12568306011,343.93,1983.70684931507,340.07,1983.70684931507,343.22
1984.20491803279,345.39,1984.20491803279,343.97,1983.78904109589,340.15,1983.78904109589,343.37
1984.28961748634,347.15,1984.28961748634,344.62,1983.87397260274,341.51,1983.87397260274,343.52
1984.37158469945,347.52,1984.37158469945,344.47,1983.95616438356,342.85,1983.95616438356,343.67
1984.45628415301,346.88,1984.45628415301,344.59,1984.04098360656,343.88,1984.04098360656,343.81
1984.53825136612,345.47,1984.53825136612,344.77,1984.12568306011,344.65,1984.12568306011,343.95
1984.62295081967,343.34,1984.62295081967,344.76,1984.20491803279,345.51,1984.20491803279,344.08
1984.70765027322,341.13,1984.70765027322,344.29,1984.28961748634,346.76,1984.28961748634,344.21
1984.78961748634,341.4,1984.78961748634,344.64,1984.37158469945,347.38,1984.37158469945,344.33
1984.87431693989,343.02,1984.87431693989,345.06,1984.45628415301,346.72,1984.45628415301,344.45
1984.95628415301,344.25,1984.95628415301,345.08,1984.53825136612,345.23,1984.53825136612,344.57
1985.04109589041,344.99,1985.04109589041,344.94,1984.62295081967,343.23,1984.62295081967,344.68
1985.12602739726,346.01,1985.12602739726,345.31,1984.70765027322,341.62,1984.70765027322,344.79
1985.20273972603,347.43,1985.20273972603,346.04,1984.78961748634,341.68,1984.78961748634,344.91
1985.28767123288,348.34,1985.28767123288,345.83,1984.87431693989,343.02,1984.87431693989,345.03
1985.3698630137,348.92,1985.3698630137,345.86,1984.95628415301,344.33,1984.95628415301,345.15
1985.45479452055,348.24,1985.45479452055,345.92,1985.04109589041,345.34,1985.04109589041,345.27
